month,container_throughput
2022-04,3042
2022-05,3122
2022-06,3166.2
2022-07,3286.3
2022-08,3262.3
2022-09,3063.8
2022-10,3061.8
2022-11,2955.5
2022-12,3252.9
2023-01,2989.5
2023-02,2684.4
2023-03,3335.5
2023-04,3264.7
2023-05,3409.7
2023-06,3345.6
2023-07,3431.3
2023-08,3328.4
2023-09,3206.7
